10:07:38 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 7:49:38 AM
15:07:38 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:39 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:40 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:41 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:42 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:43 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:44 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:45 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:46 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:47 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:48 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:49 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:50 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:51 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:52 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:53 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:54 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
15:07:26 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 12:44:26 PM
15:07:03 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 299, mgr: ExecuteSelect, err: never, queue: 34, qu: 0, qs: 34, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=35,Free=988,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:03 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 299, mgr: ExecuteSelect, err: never, queue: 34, qu: 0, qs: 34, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=35,Free=988,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:03 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 299, mgr: ExecuteSelect, err: never, queue: 34, qu: 0, qs: 34, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=35,Free=988,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:04 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 299, mgr: ExecuteSelect, err: never, queue: 34, qu: 0, qs: 34, qc: 0, wr: 0, wq: 0, in: 0, ar: 1, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=35,Free=988,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:04 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 299, mgr: ProcessReadQueue, err: never, queue: 33, qu: 0, qs: 33, qc: 0, wr: 0, wq: 0, in: 0, ar: 1, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=35,Free=988,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:04 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 299, mgr: ProcessReadQueue, err: never, queue: 33, qu: 0, qs: 33, qc: 0, wr: 0, wq: 0, in: 0, ar: 1, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=35,Free=988,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:04 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 299, mgr: ExecuteSelect, err: never, queue: 34, qu: 0, qs: 34, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=35,Free=988,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
